Age,Gender,Education Level,Job Title,Years of Experience,Salary
50,Male,Bachelor's,Software Engineer,8,82074
58,Female,Master's,Senior Manager,4,60259
32,Male,Master's,Senior Manager,2,46324
47,Male,PhD,Software Engineer,24,188437
50,Male,PhD,Software Engineer,15,143945
59,Male,Master's,Software Engineer,18,158030
56,Male,Master's,Sales Associate,8,88870
24,Female,Master's,Director,10,103017
35,Female,PhD,Software Engineer,6,74917
45,Female,Bachelor's,Software Engineer,2,44609
55,Female,PhD,Sales Associate,4,57823
33,Male,Master's,Data Analyst,20,179105
22,Male,Bachelor's,Sales Associate,17,147714
29,Male,PhD,Director,14,127575
38,Female,PhD,Data Analyst,12,115689
24,Female,Bachelor's,Director,23,181041
24,Female,Bachelor's,Sales Associate,2,43007
37,Male,Bachelor's,Sales Associate,7,74909
47,Female,PhD,Software Engineer,9,97340
49,Male,PhD,Senior Manager,20,163216
42,Male,PhD,Software Engineer,25,200171
39,Male,Bachelor's,Software Engineer,6,76578
23,Male,Master's,Senior Manager,22,179949
32,Female,PhD,Sales Associate,21,167668
47,Male,PhD,Senior Manager,6,71380
39,Male,Master's,Senior Manager,10,106224
32,Female,Bachelor's,Director,10,104827
31,Male,Bachelor's,Data Analyst,24,185788
23,Male,PhD,Software Engineer,5,67779
53,Female,Master's,Sales Associate,20,170772
55,Female,Bachelor's,Data Analyst,8,83456
36,Male,Bachelor's,Senior Manager,18,157323
49,Female,PhD,Sales Associate,11,110112
24,Female,PhD,Senior Manager,14,129617
56,Male,PhD,Senior Manager,21,165303
56,Female,PhD,Director,20,162362
28,Female,Master's,Software Engineer,22,176300
52,Female,Bachelor's,Sales Associate,1,44201
40,Female,Bachelor's,Software Engineer,17,145270
48,Female,PhD,Software Engineer,3,49698
40,Male,Master's,Director,10,103793
25,Female,PhD,Senior Manager,14,131179
54,Male,PhD,Data Analyst,10,111808
25,Female,Master's,Software Engineer,13,123381
36,Female,Master's,Sales Associate,25,191702
59,Male,Master's,Senior Manager,3,50204
38,Female,Master's,Sales Associate,17,154978
53,Male,Master's,Software Engineer,10,95551
28,Male,Master's,Senior Manager,3,54733
54,Male,Bachelor's,Data Analyst,4,65253
40,Female,PhD,Senior Manager,24,187788
41,Female,Master's,Senior Manager,22,173335
59,Female,PhD,Director,23,185299
56,Female,Bachelor's,Software Engineer,25,194916
35,Male,PhD,Sales Associate,5,70342
58,Male,PhD,Software Engineer,9,97629
26,Female,Bachelor's,Software Engineer,17,149729
23,Female,Bachelor's,Senior Manager,12,118417
42,Male,Bachelor's,Sales Associate,10,109140
51,Male,Master's,Director,9,101901
30,Female,Master's,Senior Manager,15,131200
25,Female,Master's,Director,14,130836
54,Female,PhD,Sales Associate,4,63149
59,Male,Bachelor's,Senior Manager,12,114531
48,Male,Master's,Senior Manager,14,122225
59,Female,Bachelor's,Software Engineer,14,132963
54,Female,Master's,Software Engineer,5,65867
32,Female,PhD,Senior Manager,19,169036
26,Male,Bachelor's,Senior Manager,1,37730
53,Male,PhD,Senior Manager,9,100426
47,Male,Bachelor's,Senior Manager,20,164374
53,Male,Bachelor's,Sales Associate,14,131806
49,Female,PhD,Director,7,76045
41,Female,Bachelor's,Data Analyst,17,146967
58,Female,Master's,Director,14,126267
51,Female,Bachelor's,Software Engineer,20,177242
22,Female,PhD,Director,18,159314
49,Female,PhD,Sales Associate,15,131137
43,Male,Bachelor's,Data Analyst,12,122482
27,Male,Master's,Sales Associate,3,66912
39,Female,PhD,Director,7,70110
42,Male,PhD,Data Analyst,10,108879
40,Male,Bachelor's,Software Engineer,15,130396
39,Female,Master's,Director,13,127735
46,Female,Bachelor's,Director,7,71984
47,Male,Master's,Director,0,29432
49,Female,Bachelor's,Data Analyst,12,121250
51,Male,Master's,Director,7,75294
54,Female,Master's,Sales Associate,18,159486
44,Female,Bachelor's,Sales Associate,1,30191
25,Female,PhD,Data Analyst,15,142282
36,Male,Master's,Director,24,180375
22,Female,Bachelor's,Director,4,66172
45,Female,PhD,Data Analyst,12,114380
59,Male,Master's,Director,2,52219
53,Female,PhD,Software Engineer,16,146829
40,Female,Bachelor's,Software Engineer,14,126802
49,Male,Master's,Software Engineer,10,103620
50,Female,PhD,Sales Associate,13,127779
45,Female,PhD,Director,22,183776
56,Male,PhD,Director,5,65157
34,Male,Bachelor's,Software Engineer,1,28074
48,Male,Bachelor's,Director,22,177983
24,Female,Master's,Senior Manager,14,126857
27,Female,Bachelor's,Data Analyst,22,183564
58,Female,Bachelor's,Sales Associate,15,141182
43,Female,Bachelor's,Sales Associate,20,164493
51,Male,PhD,Software Engineer,11,105617
55,Female,Master's,Data Analyst,19,156435
57,Female,PhD,Senior Manager,23,188771
25,Male,Bachelor's,Sales Associate,14,131872
49,Female,Bachelor's,Data Analyst,5,61001
46,Female,Bachelor's,Senior Manager,7,82391
45,Male,Bachelor's,Sales Associate,5,63780
28,Male,Master's,Senior Manager,6,74112
51,Female,PhD,Data Analyst,8,80403
34,Female,Master's,Sales Associate,14,133010
30,Female,Master's,Director,15,128720
49,Male,PhD,Sales Associate,11,114321
30,Male,PhD,Software Engineer,15,139798
41,Male,PhD,Director,2,43054
34,Male,Master's,Sales Associate,2,44980
53,Male,Master's,Software Engineer,4,69692
58,Male,PhD,Sales Associate,13,115955
53,Female,Master's,Director,5,62688
37,Female,Master's,Data Analyst,7,86589
28,Female,Bachelor's,Data Analyst,10,98010
49,Male,Master's,Sales Associate,20,165180
56,Male,Bachelor's,Software Engineer,0,28296
37,Female,Bachelor's,Director,16,149641
24,Female,Master's,Sales Associate,17,151134
27,Male,Bachelor's,Director,20,166212
37,Male,PhD,Sales Associate,23,188277
41,Male,PhD,Data Analyst,1,33641
33,Female,Master's,Senior Manager,4,52712
41,Male,Master's,Director,22,175009
58,Female,PhD,Sales Associate,11,102464
25,Female,PhD,Sales Associate,14,137820
53,Female,Master's,Sales Associate,17,142816
39,Female,Master's,Senior Manager,17,148750
47,Female,Master's,Sales Associate,23,188827
59,Female,Bachelor's,Data Analyst,25,190277
39,Female,Bachelor's,Sales Associate,18,150813
26,Male,Bachelor's,Software Engineer,7,77902
53,Female,PhD,Director,22,164278
32,Female,Bachelor's,Director,1,37181
56,Female,PhD,Senior Manager,6,83905
25,Male,PhD,Director,22,178634
31,Female,PhD,Data Analyst,6,74335
59,Male,Bachelor's,Software Engineer,6,68437
55,Female,PhD,Senior Manager,3,56299
30,Female,Master's,Director,21,180195
52,Male,PhD,Sales Associate,13,115500
25,Female,Bachelor's,Director,17,150342
28,Male,PhD,Data Analyst,6,73266
29,Female,Master's,Director,19,162322
24,Male,Bachelor's,Director,19,163381
40,Male,Master's,Data Analyst,8,82217
37,Female,PhD,Software Engineer,10,101789
44,Female,Master's,Sales Associate,5,70558
48,Male,PhD,Director,24,191648
45,Male,Master's,Sales Associate,16,147377
33,Female,PhD,Director,23,185414
25,Male,PhD,Software Engineer,8,90484
50,Female,PhD,Software Engineer,20,154604
34,Male,Master's,Director,19,163625
31,Female,Bachelor's,Director,17,144197
48,Male,Bachelor's,Sales Associate,24,196453
39,Male,Master's,Software Engineer,10,100691
30,Female,Master's,Sales Associate,3,51622
51,Female,Master's,Data Analyst,17,143399
53,Female,Bachelor's,Senior Manager,18,159774
59,Male,Master's,Director,14,134918
40,Female,PhD,Director,5,66303
23,Male,Bachelor's,Sales Associate,13,123737
42,Female,PhD,Director,8,88120
23,Male,Master's,Data Analyst,11,107753
58,Male,PhD,Software Engineer,16,147269
29,Male,Bachelor's,Data Analyst,19,167939
57,Male,PhD,Director,6,73841
58,Female,Bachelor's,Sales Associate,10,104906
51,Male,Master's,Software Engineer,7,83813
25,Male,PhD,Data Analyst,5,61419
43,Male,PhD,Data Analyst,20,163725
35,Female,PhD,Sales Associate,23,181035
53,Female,Bachelor's,Director,9,98850
33,Male,Master's,Software Engineer,19,160888
39,Male,Master's,Software Engineer,22,190019
44,Female,Bachelor's,Director,21,181398
23,Female,Bachelor's,Software Engineer,5,55639
45,Female,Master's,Senior Manager,24,191340
35,Female,PhD,Software Engineer,9,102022
42,Male,Bachelor's,Sales Associate,8,92279
27,Female,PhD,Senior Manager,2,37520
35,Female,Bachelor's,Senior Manager,12,124230
44,Female,Bachelor's,Data Analyst,3,50805
44,Female,Master's,Senior Manager,6,70223
28,Male,Master's,Director,8,92751
38,Female,PhD,Software Engineer,20,170765
42,Female,PhD,Data Analyst,22,174931
25,Female,PhD,Data Analyst,8,81448
45,Male,Master's,Sales Associate,21,171747
31,Male,PhD,Sales Associate,21,181434
57,Male,Master's,Director,19,164773
32,Female,Master's,Sales Associate,4,61157
52,Male,PhD,Senior Manager,17,151460
44,Male,PhD,Director,24,184581
48,Female,Bachelor's,Software Engineer,17,145253
56,Male,Master's,Director,8,95865
54,Female,Master's,Software Engineer,13,121991
27,Male,Master's,Sales Associate,16,142106
57,Male,Bachelor's,Senior Manager,13,121540
27,Female,PhD,Software Engineer,3,56250
34,Male,Bachelor's,Software Engineer,8,89811
42,Male,Master's,Director,20,167012
57,Female,PhD,Data Analyst,22,175890
46,Female,PhD,Senior Manager,3,51631
55,Female,PhD,Data Analyst,24,189128
58,Male,Master's,Director,8,88560
50,Male,Master's,Data Analyst,17,145804
40,Male,Master's,Senior Manager,19,157178
37,Female,PhD,Data Analyst,20,162189
32,Female,PhD,Senior Manager,24,192859
41,Female,Master's,Senior Manager,8,90014
24,Female,Master's,Senior Manager,21,174372
31,Male,Bachelor's,Software Engineer,3,51901
36,Male,Bachelor's,Sales Associate,18,145777
54,Male,Bachelor's,Director,19,163719
36,Male,Bachelor's,Director,17,154742
31,Male,PhD,Sales Associate,6,75694
52,Female,Master's,Senior Manager,22,179432
58,Male,PhD,Senior Manager,4,55638
51,Male,PhD,Software Engineer,1,38802
27,Female,Bachelor's,Software Engineer,18,151197
34,Female,Master's,Software Engineer,12,112106
45,Male,PhD,Director,21,172891
29,Female,Bachelor's,Data Analyst,10,97539
46,Female,Master's,Director,4,59830
31,Female,PhD,Senior Manager,21,177772
43,Female,Master's,Director,14,117233
49,Male,Bachelor's,Senior Manager,5,61746
52,Female,Bachelor's,Data Analyst,18,158245
52,Female,Master's,Data Analyst,13,122497
51,Male,Master's,Senior Manager,15,132919
27,Male,Bachelor's,Senior Manager,12,123579
60,Female,Master's,Software Engineer,21,184838
51,Female,PhD,Data Analyst,21,171404
26,Male,Master's,Director,18,148436
49,Male,Bachelor's,Sales Associate,3,47201
40,Female,Master's,Director,21,167205
38,Male,PhD,Sales Associate,17,149425
48,Male,Master's,Senior Manager,17,154357
28,Male,Bachelor's,Sales Associate,9,100996
60,Female,Master's,Software Engineer,22,180691
43,Female,Bachelor's,Director,18,156996
45,Male,Bachelor's,Data Analyst,3,44806
38,Female,Master's,Sales Associate,10,97803
45,Female,PhD,Sales Associate,22,169607
47,Male,Master's,Senior Manager,1,37513
35,Male,Bachelor's,Software Engineer,24,194579
40,Female,PhD,Sales Associate,17,154456
32,Female,PhD,Senior Manager,16,145343
51,Female,Master's,Sales Associate,7,77639
50,Male,Bachelor's,Sales Associate,6,84782
53,Female,Master's,Sales Associate,24,182831
49,Male,Master's,Sales Associate,7,79531
23,Male,PhD,Director,19,167293
29,Male,PhD,Sales Associate,10,108394
37,Male,Master's,Director,3,63920
31,Male,Bachelor's,Software Engineer,0,34871
42,Male,Master's,Sales Associate,14,130700
56,Female,Master's,Sales Associate,24,196305
50,Female,PhD,Director,9,95764
32,Male,Bachelor's,Senior Manager,9,91039
37,Female,Master's,Senior Manager,9,94096
24,Female,Master's,Data Analyst,13,114618
22,Female,Bachelor's,Sales Associate,11,108052
38,Male,Master's,Data Analyst,22,176132
50,Female,Master's,Data Analyst,13,123505
55,Male,PhD,Senior Manager,13,122063
38,Male,Master's,Senior Manager,3,62221
29,Male,Master's,Director,25,197307
32,Female,PhD,Director,6,72508
39,Female,Master's,Sales Associate,2,45600
47,Male,PhD,Director,17,137549
43,Male,Master's,Sales Associate,15,139036
54,Male,PhD,Director,10,101463
23,Male,PhD,Sales Associate,11,103374
60,Female,PhD,Software Engineer,20,171606
57,Female,Master's,Data Analyst,5,67582
28,Male,Master's,Director,21,169148
24,Female,Bachelor's,Software Engineer,16,148995
45,Male,Master's,Software Engineer,10,113222
49,Female,Bachelor's,Software Engineer,11,107565
40,Female,Bachelor's,Software Engineer,6,73361
33,Male,Bachelor's,Senior Manager,19,163986
46,Female,PhD,Data Analyst,13,123351
46,Female,Master's,Sales Associate,8,79268
28,Male,Bachelor's,Sales Associate,15,144398
52,Male,Master's,Senior Manager,25,192559
50,Female,PhD,Software Engineer,11,103641
25,Female,Master's,Director,23,184639
40,Female,Master's,Data Analyst,9,97397
37,Female,PhD,Data Analyst,1,44263
40,Female,PhD,Director,5,67516
40,Female,Bachelor's,Sales Associate,10,118487
42,Female,Master's,Software Engineer,5,84213
33,Male,Bachelor's,Senior Manager,0,30032
40,Male,Master's,Software Engineer,23,183468
26,Female,Master's,Director,21,171891
29,Male,PhD,Director,19,157674
25,Male,Master's,Senior Manager,4,67859
29,Male,Bachelor's,Director,3,53018
22,Female,PhD,Sales Associate,2,45464
23,Female,Master's,Sales Associate,18,159115
52,Male,PhD,Sales Associate,23,188754
30,Female,PhD,Senior Manager,11,113297
42,Female,PhD,Sales Associate,3,55242
36,Male,PhD,Sales Associate,13,124121
35,Female,Master's,Sales Associate,9,102789
55,Male,PhD,Data Analyst,9,91560
40,Female,Bachelor's,Senior Manager,16,140966
42,Female,PhD,Senior Manager,18,152192
39,Male,PhD,Sales Associate,3,54059
32,Female,PhD,Director,1,26649
48,Male,PhD,Senior Manager,25,195943
24,Male,Bachelor's,Senior Manager,6,74936
33,Female,PhD,Director,1,44528
47,Female,PhD,Sales Associate,5,62426
23,Female,Bachelor's,Data Analyst,1,49436
23,Male,Bachelor's,Software Engineer,10,98202
36,Female,Bachelor's,Director,20,161783
32,Female,PhD,Software Engineer,9,95244
49,Female,Bachelor's,Director,11,109559
51,Male,Master's,Data Analyst,17,157345
23,Male,Bachelor's,Data Analyst,13,113204
39,Female,Master's,Sales Associate,22,176304
58,Female,PhD,Software Engineer,22,180879
34,Male,Master's,Data Analyst,0,26392
29,Male,Bachelor's,Senior Manager,19,156879
42,Female,Master's,Data Analyst,12,120265
39,Male,Master's,Sales Associate,25,189832
30,Female,Bachelor's,Data Analyst,12,122059
31,Female,PhD,Director,25,189143
48,Female,Bachelor's,Director,19,158708
34,Male,PhD,Software Engineer,6,79238
59,Male,Master's,Director,13,127828
33,Male,PhD,Software Engineer,25,189821
43,Female,Bachelor's,Software Engineer,21,178211
25,Female,Master's,Software Engineer,2,36042
42,Female,Bachelor's,Senior Manager,18,146925
40,Male,PhD,Software Engineer,9,101714
35,Female,PhD,Director,0,28293
38,Male,Master's,Director,10,106758
29,Female,PhD,Data Analyst,6,76343
53,Female,PhD,Data Analyst,20,168189
57,Male,Bachelor's,Director,8,92105
54,Female,PhD,Senior Manager,21,165319
53,Female,Bachelor's,Sales Associate,0,28516
43,Female,PhD,Software Engineer,8,83778
35,Male,Master's,Data Analyst,6,84541
29,Female,Bachelor's,Director,6,69173
53,Female,PhD,Software Engineer,2,43793
24,Female,Master's,Data Analyst,5,62656
29,Male,Bachelor's,Software Engineer,14,132952
37,Female,Master's,Software Engineer,7,76475
29,Male,PhD,Sales Associate,10,104923
44,Male,PhD,Software Engineer,9,101477
50,Male,Master's,Data Analyst,22,179386
57,Male,Master's,Software Engineer,23,184884
30,Female,Master's,Software Engineer,12,114333
33,Female,Master's,Senior Manager,8,88505
49,Female,Bachelor's,Sales Associate,3,48633
30,Female,PhD,Senior Manager,24,193053
37,Female,Bachelor's,Software Engineer,2,46652
51,Male,Bachelor's,Software Engineer,7,75104
36,Female,Master's,Director,7,82873
28,Male,PhD,Data Analyst,8,85197
32,Female,Master's,Data Analyst,4,55850
25,Female,Bachelor's,Data Analyst,20,165940
48,Male,PhD,Director,3,51912
24,Male,Master's,Software Engineer,16,136107
44,Female,Bachelor's,Software Engineer,3,46153
58,Female,Bachelor's,Director,2,43994
55,Male,Master's,Data Analyst,23,177533
25,Male,Master's,Sales Associate,5,61114
49,Female,PhD,Director,21,174877
48,Male,PhD,Software Engineer,14,127950
33,Female,Master's,Software Engineer,2,50851
26,Male,PhD,Data Analyst,24,188902
54,Female,Bachelor's,Sales Associate,6,86314
43,Female,Master's,Director,21,174946
49,Male,PhD,Software Engineer,4,66561
39,Male,PhD,Senior Manager,21,170839
30,Male,Bachelor's,Senior Manager,0,27135
32,Male,Master's,Data Analyst,13,130094
42,Male,Bachelor's,Director,19,159071
31,Female,Bachelor's,Senior Manager,23,185474
37,Female,Bachelor's,Software Engineer,23,179651
25,Female,PhD,Senior Manager,20,175643
60,Male,Bachelor's,Senior Manager,22,173924
45,Female,PhD,Senior Manager,5,72829
28,Female,Master's,Software Engineer,7,83179
27,Female,Bachelor's,Director,7,83756
40,Male,Master's,Director,9,98260
23,Female,Bachelor's,Software Engineer,10,107651
38,Female,Bachelor's,Data Analyst,14,125979
58,Female,Master's,Data Analyst,4,55327
53,Female,PhD,Sales Associate,17,153184
57,Female,PhD,Software Engineer,4,59910
26,Male,Master's,Software Engineer,8,96483
36,Male,PhD,Software Engineer,13,124783
43,Male,PhD,Sales Associate,20,168323
49,Female,PhD,Director,18,165178
37,Female,PhD,Sales Associate,16,136150
34,Male,Bachelor's,Sales Associate,4,60908
34,Male,Master's,Senior Manager,14,127997
52,Male,Master's,Data Analyst,2,43962
37,Female,PhD,Data Analyst,9,97197
23,Female,PhD,Senior Manager,10,110477
51,Female,PhD,Software Engineer,1,26345
28,Female,Bachelor's,Senior Manager,7,82463
46,Female,Master's,Software Engineer,24,182312
23,Male,Master's,Data Analyst,24,187962
37,Male,PhD,Data Analyst,9,93933
39,Female,Bachelor's,Director,1,44384
59,Female,PhD,Senior Manager,4,59845
25,Male,PhD,Senior Manager,10,101476
51,Female,Bachelor's,Senior Manager,24,182228
59,Female,PhD,Data Analyst,4,57857
33,Female,Master's,Director,19,155000
31,Female,PhD,Sales Associate,3,40199
58,Female,Bachelor's,Sales Associate,25,185448
41,Female,Master's,Software Engineer,10,97930
53,Male,Bachelor's,Data Analyst,19,162249
52,Female,PhD,Data Analyst,9,98129
34,Female,Bachelor's,Director,16,148174
29,Male,Bachelor's,Director,5,72432
49,Female,Bachelor's,Director,4,62001
41,Male,Master's,Sales Associate,23,197395
41,Female,Master's,Data Analyst,23,186429
43,Female,PhD,Sales Associate,22,182217
23,Male,PhD,Sales Associate,16,149341
22,Female,Master's,Director,20,162772
34,Female,PhD,Data Analyst,2,46091
34,Male,PhD,Director,8,90829
49,Male,PhD,Director,8,93955
34,Male,Bachelor's,Sales Associate,16,147743
36,Male,PhD,Data Analyst,9,94006
43,Male,PhD,Sales Associate,4,50697
44,Female,Master's,Sales Associate,15,142299
35,Female,PhD,Sales Associate,20,166882
43,Female,Master's,Senior Manager,10,100043
45,Male,PhD,Sales Associate,3,48027
32,Male,PhD,Senior Manager,5,64014
31,Female,PhD,Director,6,78484
56,Female,PhD,Data Analyst,7,86728
47,Female,Bachelor's,Sales Associate,16,139214
34,Female,Bachelor's,Software Engineer,15,126881
43,Male,Bachelor's,Software Engineer,17,154774
49,Female,Master's,Software Engineer,9,93908
23,Male,Bachelor's,Sales Associate,21,171539
57,Female,PhD,Director,5,66517
49,Female,Bachelor's,Data Analyst,12,112310
37,Male,Master's,Data Analyst,20,170357
57,Female,Bachelor's,Data Analyst,5,58372
24,Male,Master's,Sales Associate,3,50066
51,Male,PhD,Senior Manager,22,181399
42,Female,PhD,Software Engineer,9,99253
47,Male,Bachelor's,Sales Associate,17,149693
40,Male,PhD,Senior Manager,1,26833
28,Female,PhD,Data Analyst,17,153769
32,Male,Master's,Sales Associate,8,83280
40,Female,Master's,Data Analyst,1,35437
57,Female,Bachelor's,Software Engineer,15,135204
25,Female,Master's,Software Engineer,6,73092
26,Female,Bachelor's,Director,10,106722
28,Male,PhD,Software Engineer,2,46904
46,Male,PhD,Software Engineer,4,50965
36,Female,PhD,Software Engineer,7,92018
28,Female,Master's,Software Engineer,2,50734
27,Male,Bachelor's,Senior Manager,23,185271
48,Female,Bachelor's,Senior Manager,0,20000
40,Male,Master's,Software Engineer,12,112726
55,Male,Bachelor's,Data Analyst,3,51938
37,Male,Bachelor's,Senior Manager,8,94483
47,Male,PhD,Senior Manager,23,191963
52,Female,PhD,Data Analyst,4,54398
58,Male,Bachelor's,Director,24,182471
55,Female,Bachelor's,Director,5,66608
51,Female,PhD,Software Engineer,19,159029
38,Female,Master's,Data Analyst,14,121219
59,Male,PhD,Senior Manager,22,175085
32,Female,PhD,Data Analyst,14,139210
47,Female,PhD,Software Engineer,13,123554
27,Female,Bachelor's,Senior Manager,5,64083
45,Male,Master's,Senior Manager,4,74216
48,Female,Master's,Sales Associate,23,182295
25,Female,PhD,Senior Manager,8,84767
33,Male,Master's,Software Engineer,9,94128
46,Male,Master's,Data Analyst,19,162555
45,Male,PhD,Director,8,89410
47,Male,Master's,Senior Manager,24,188316
27,Female,PhD,Data Analyst,18,157558
42,Female,Bachelor's,Director,15,151447
57,Male,PhD,Director,22,182489
58,Male,Master's,Director,1,32827
27,Male,PhD,Director,6,76135
56,Male,PhD,Senior Manager,12,117772
44,Male,PhD,Data Analyst,6,76874
51,Male,PhD,Sales Associate,19,150661
28,Male,Bachelor's,Sales Associate,23,177286
50,Female,Master's,Senior Manager,11,109035
25,Male,PhD,Director,9,89185
46,Male,PhD,Sales Associate,24,186390
47,Female,Bachelor's,Sales Associate,11,111247
47,Female,PhD,Senior Manager,12,121775
24,Male,Bachelor's,Sales Associate,9,92869
37,Male,Master's,Senior Manager,23,173292
50,Male,PhD,Data Analyst,14,128438
52,Female,Bachelor's,Director,19,155650
38,Male,Bachelor's,Director,20,171676
28,Female,Bachelor's,Data Analyst,9,102576
41,Male,Bachelor's,Data Analyst,11,109835
47,Female,PhD,Data Analyst,21,176448
57,Male,PhD,Data Analyst,9,100183
48,Female,Bachelor's,Senior Manager,20,172956
53,Female,Bachelor's,Director,24,184517
32,Male,Bachelor's,Director,16,139586
54,Female,Bachelor's,Senior Manager,19,163079
45,Male,PhD,Senior Manager,20,163166
43,Female,PhD,Software Engineer,21,166199
32,Male,Bachelor's,Software Engineer,10,99374
30,Male,Bachelor's,Software Engineer,1,44190
43,Male,PhD,Senior Manager,10,103591
56,Male,Bachelor's,Software Engineer,17,145520
31,Male,Master's,Software Engineer,11,116331
33,Male,Bachelor's,Senior Manager,19,162219
58,Female,Bachelor's,Data Analyst,9,91124
23,Male,Master's,Director,16,140742
40,Female,Bachelor's,Data Analyst,5,58770
42,Male,Bachelor's,Data Analyst,19,160230
48,Female,PhD,Software Engineer,14,130445
29,Female,PhD,Director,5,54907
44,Male,Master's,Software Engineer,7,78256
26,Female,PhD,Director,19,167791
32,Female,Bachelor's,Director,12,115056
23,Female,Bachelor's,Senior Manager,5,77721
39,Male,Master's,Senior Manager,24,184696
29,Male,PhD,Director,18,151618
26,Female,PhD,Director,24,190759
35,Female,Master's,Senior Manager,11,105668
25,Female,Master's,Director,12,121792
47,Male,PhD,Senior Manager,22,180771
30,Female,Master's,Sales Associate,13,127407
49,Female,PhD,Director,18,147607
54,Male,Bachelor's,Data Analyst,6,77430
50,Female,PhD,Data Analyst,11,109064
51,Female,PhD,Sales Associate,3,46924
46,Female,PhD,Sales Associate,5,69887
36,Female,PhD,Software Engineer,0,34747
35,Female,Bachelor's,Senior Manager,1,32569
44,Male,Bachelor's,Software Engineer,24,194562
31,Female,Bachelor's,Data Analyst,6,73226
35,Male,PhD,Director,17,146747
28,Male,Master's,Senior Manager,21,177077
52,Female,Master's,Sales Associate,14,135290
50,Male,PhD,Sales Associate,4,63812
41,Male,Master's,Director,18,152525
36,Male,Master's,Sales Associate,15,129441
48,Female,PhD,Data Analyst,18,146695
25,Female,Master's,Sales Associate,19,165759
24,Female,Master's,Sales Associate,24,189559
49,Male,Bachelor's,Sales Associate,14,137145
43,Female,Master's,Data Analyst,9,87113
50,Male,Master's,Software Engineer,16,146100
33,Female,Bachelor's,Director,2,32424
26,Female,Master's,Data Analyst,22,183806
38,Female,Bachelor's,Senior Manager,3,53106
38,Male,Bachelor's,Data Analyst,8,84327
51,Male,PhD,Software Engineer,20,170410
27,Male,Master's,Director,15,146035
58,Female,Master's,Sales Associate,10,104892
24,Female,PhD,Software Engineer,12,129959
34,Male,Bachelor's,Director,21,175892
49,Male,Master's,Software Engineer,9,94885
49,Male,PhD,Software Engineer,22,174929
44,Female,Master's,Sales Associate,2,46344
25,Male,PhD,Director,19,158773
55,Male,PhD,Sales Associate,21,178637
46,Female,Master's,Software Engineer,5,58998
51,Female,Master's,Sales Associate,11,116151
37,Female,Bachelor's,Data Analyst,4,53215
31,Female,Bachelor's,Sales Associate,18,151439
49,Female,PhD,Director,13,124310
53,Female,Master's,Data Analyst,16,136193
53,Female,PhD,Senior Manager,5,66953
49,Female,Master's,Director,5,65962
27,Female,Bachelor's,Sales Associate,1,43007
30,Female,Bachelor's,Sales Associate,8,84730
41,Male,Bachelor's,Sales Associate,14,131679
41,Female,Bachelor's,Data Analyst,21,175187
41,Male,Master's,Data Analyst,17,145713
53,Female,PhD,Senior Manager,11,109146
27,Female,Bachelor's,Software Engineer,24,192655
52,Female,Bachelor's,Director,18,145475
23,Female,PhD,Sales Associate,23,186150
34,Female,Master's,Director,13,120139
29,Male,Bachelor's,Data Analyst,6,73594
42,Male,Master's,Sales Associate,1,39434
42,Female,Bachelor's,Software Engineer,18,161461
41,Female,PhD,Senior Manager,3,59275
33,Female,Bachelor's,Director,8,82412
42,Female,Bachelor's,Software Engineer,13,110834
49,Female,PhD,Sales Associate,14,130690
37,Female,PhD,Director,15,127126
57,Female,Master's,Data Analyst,4,62296
25,Male,Master's,Director,9,94523
60,Female,Master's,Sales Associate,15,140600
51,Female,Bachelor's,Software Engineer,24,187155
45,Male,Master's,Sales Associate,18,150377
30,Male,PhD,Data Analyst,23,179151
46,Male,Bachelor's,Sales Associate,19,163443
52,Female,PhD,Data Analyst,15,128174
32,Female,Master's,Data Analyst,5,67673
24,Male,PhD,Sales Associate,17,155628
39,Female,Bachelor's,Senior Manager,16,148233
34,Female,Bachelor's,Data Analyst,15,128538
33,Male,Master's,Director,12,111210
50,Male,PhD,Sales Associate,13,126851
28,Male,Master's,Director,8,85662
47,Female,Master's,Data Analyst,13,125986
24,Female,Master's,Sales Associate,5,57428
57,Male,PhD,Sales Associate,20,167528
44,Female,PhD,Data Analyst,5,68491
57,Male,Master's,Software Engineer,2,36737
55,Female,Bachelor's,Sales Associate,11,108250
55,Female,Master's,Sales Associate,16,144772
27,Female,Bachelor's,Director,11,112119
48,Male,Master's,Data Analyst,7,77260
37,Male,Master's,Data Analyst,14,122175
39,Female,Bachelor's,Senior Manager,9,80618
33,Male,Master's,Sales Associate,23,192917
27,Male,Master's,Senior Manager,23,189030
34,Female,PhD,Sales Associate,13,119939
43,Female,Master's,Director,8,89576
38,Female,PhD,Senior Manager,18,159777
49,Male,Master's,Software Engineer,1,39871
54,Male,Bachelor's,Sales Associate,12,105323
30,Male,PhD,Senior Manager,8,82439
24,Female,Master's,Sales Associate,23,174930
60,Male,PhD,Data Analyst,0,28412
56,Male,Bachelor's,Sales Associate,14,129346
32,Female,PhD,Data Analyst,19,163252
28,Male,Bachelor's,Senior Manager,12,102588
58,Female,PhD,Sales Associate,2,37893
31,Male,PhD,Data Analyst,24,192439
30,Male,Master's,Data Analyst,13,123948
26,Male,Bachelor's,Senior Manager,15,137407
33,Female,PhD,Director,6,67616
54,Male,Bachelor's,Data Analyst,12,113387
44,Male,Master's,Data Analyst,11,106928
25,Male,PhD,Software Engineer,2,33952
